"site_no","Latitude","Longitude","date","blue","green","red","nir","swir1","swir2","qa","dswe","blue_sd","green_sd","red_sd","nir_sd","swir1_sd","swir2_sd","qa_sd","dswe_sd","hillshade","hillshadow","hillshadow_sd","azimuth","zenith","pixelCount","elevation","date.1","date.1.1","ActivityStartDate","sample_tm","Chlorophyll.a..ug.L.","datetime_date","datetime_year","parameter","lat_group","long_group","julian","value","NR","BR","GR","SR","BG","RG","NG","SG","BN","GN","RN","SN","BS","GS","RS","NS","R.GN","R.GB","R.GS","R.BN","R.BS","R.NS","G.BR","G.BN","G.BS","G.RN","G.RB","G.NS","B.RG","B.RN","B.RS","B.GN","B.GS","B.NS","N.RG","N.RB","N.RS","N.GB","N.GS","N.BS","GR2","GN2","BR_G","fai","N_S","N_R","ndvi","ndwi","ndssi","gn.gn","hue","saturation","bright","bright_tot","hexcolor","mndwi","CVI","g.b.ndvi","r.b.ndvi","b3mb2","b2ab3","b2sb3","lnblue","lngreen","lnred","lnnir","SABI","ngrdi","NDCI","gr2","grnir","nirSq","gnir","gswir1","GCI","IRG","KIVU","GB","GNDVI","KAB","KRL",".partitions"
452355122470500,45.3984861,-122.7847722,2020-06-22,606,486,418,574,522,422,0,2,53.9217540103768,51.7451017542293,39.8246155034798,95.5649866146941,29.4052149569879,27.288581250528,0,0,108,1,0,146.563221631668,25.1691144229041,3,35,"2020-06-23 10:10:00","2020-06-21 10:10:00","2020-06-22","10:10",1.08,"2020-06-22",2020,32209,"[38.5,48.4]","[-123,-122)",174,1.08,1.37320574162679,1.44976076555024,1.16267942583732,1.2488038277512,1.24691358024691,0.860082304526749,1.18106995884774,1.07407407407407,1.05574912891986,0.846689895470383,0.728222996515679,0.909407665505226,1.16091954022989,0.931034482758621,0.800766283524904,1.09961685823755,0.394339622641509,0.382783882783883,0.41468253968254,0.354237288135593,0.370567375886525,0.381386861313869,0.474609375,0.411864406779661,0.430851063829787,0.48991935483871,0.474609375,0.443430656934307,0.670353982300885,0.610887096774194,0.64468085106383,0.571698113207547,0.601190476190476,0.552919708029197,0.634955752212389,0.560546875,0.61063829787234,0.525641025641026,0.569444444444444,0.50886524822695,452,530,0.386831275720165,138.141414141414,52,156,0.157258064516129,-0.0830188679245283,0.0271186440677966,-0.0830188679245283,0.606382978723404,0.31023102310231,0.0536948431685274,2084,"#090B0E",-0.0357142857142857,1.01581737201307,-0.310924369747899,-0.281602002503129,203148,904,68,6.40687998606931,6.18620862390049,6.03548143252476,6.35262939631957,0.142857142857143,0.0752212389380531,0.157258064516129,452,574.860082304527,0.0474452554744526,-0.0830188679245283,-0.0357142857142857,1.18350515463918,-68,0.386831275720165,0.801980198019802,0.0830188679245283,-0.758987330169521,978.883572567783,1
11455315,38.2430111,-121.684286,2022-07-18,501,556.994152046784,422.331168831169,288.721017907634,296,277,0,1,79.6196335187915,86.2804821336914,77.0736439856207,68.0513266259781,61.073861816838,58.3921512990687,0,0,98,1,0,135.46814968837,22.6607520138527,120,2,"2022-07-19 08:38:00","2022-07-17 08:38:00","2022-07-18","08:38",0.9,"2022-07-18",2022,70953,"[26.7,38.5)","[-123,-122)",199,0.9,0.683636537427937,1.18627285167361,1.31885636948915,0.700871784621534,0.899470843919954,0.758232680323896,0.518355564141333,0.531423891816979,1.73523910254527,1.92917770962201,1.46276558558781,1.02521112645389,1.69256756756757,1.88173700015805,1.42679448929449,0.975408844282547,0.499377549126772,0.399181004936683,0.495116136280387,0.534785271322948,0.529901090126937,0.722278070903692,0.603244178090375,0.705304961393253,0.698863427913154,0.783337935576014,0.603244178090375,0.952581034353669,0.511576683783546,0.704589633987071,0.697449897399275,0.592398029264395,0.587342830894955,0.856818866872237,0.294816249261072,0.312694976249011,0.401933022588211,0.272894720021918,0.338479481031423,0.362259746433669,489.662660438977,422.857584977209,0.141238163596057,-111.916919912122,-7.27898209236599,-133.610150923535,-0.187904844982377,0.317214522891447,0.268802497690639,0.317214522891447,0.430698411310838,0.241767319676104,0.0493526627721765,1769.04633878559,"#0A0D0B",0.305974139940492,0.393034128759688,-0.57122185247619,-0.52358319044912,235235.991266044,979.325320877953,134.662983215615,6.21660610108486,6.32255474085383,6.04578976653611,5.66546088591586,-0.126286284914765,0.137505873017652,-0.187904844982377,489.662660438977,289.479250587958,-0.0124486410945396,0.317214522891447,0.305974139940492,0.519287868127325,-134.662983215615,0.141238163596057,1.11176477454448,-0.317214522891447,0.0296572792321399,326.002540335196,1
14211720,45.5175,-122.6691667,2020-02-11,549.647838214784,740,627.412987012987,226.507389162562,140.41021416804,120.095744680851,0,1,154.29128859251,148.608233090057,174.406460046023,279.412908857776,286.115899188764,263.515655124829,0,0.227090836305396,224,1,0,162.969021531,61.4895208194,110,0,"2020-02-12 09:31:00","2020-02-10 09:31:00","2020-02-11","09:31",0.6,"2020-02-11",2020,70953,"[38.5,48.4]","[-123,-122)",42,0.6,0.361018011821731,0.876054288948607,1.17944641777822,0.223792329891848,0.742767348938897,0.847855387855388,0.306091066435895,0.189743532659514,2.42662210820993,3.26700158761227,2.76994489818917,0.619892422437791,3.91458585453746,5.2702718558237,4.46842838842274,1.61318313275616,0.649154878739845,0.486499467855887,0.712637105881231,0.808360189923652,0.909217688057521,1.70995608092336,0.628684588034611,0.953417530279973,1.07237354516004,0.866591336436116,0.628684588034611,2.01680157420314,0.401961838475331,0.64367574957807,0.715852083356355,0.568694915711954,0.624308793071175,1.49801435860666,0.165646656360454,0.192434736003325,0.29499940717363,0.175635070637662,0.257274831115634,0.328243962055677,683.706493506493,483.253694581281,-0.105088038916491,-317.27885907907,86.097174994522,-400.905597850425,-0.469488267332324,0.531286792625929,0.416334822795853,0.531286792625929,0.265244492043166,0.257232651061103,0.0655679603048024,2143.56821439033,"#0E110C",0.681034563414912,0.259520959852075,-0.701208180966568,-0.67724064019083,464285.61038961,1367.41298701299,112.587012987013,6.30927777899573,6.60665018619822,6.44160499527614,5.42277756762523,-0.310864397218224,0.0823357786245333,-0.469488267332324,683.706493506493,227.355244550417,0.234649889274858,0.531286792625929,0.681034563414912,0.30650526273689,-112.587012987013,-0.105088038916491,1.34631658409404,-0.531286792625929,1.16071243290063,133.910359672552,1
11455385,38.19395556,-121.6580028,2020-07-09,391,461,299,156.5,187,159,0,1,97.7601366525182,100.301046673365,93.8170361704744,93.1878978269865,70.3446137970406,62.5593460545319,0,0.104250911873683,93,1,0,133.688269612954,21.3756406586676,91,-2,"2020-07-10 10:00:00","2020-07-08 10:00:00","2020-07-09","10:00",0.9,"2020-07-09",2020,70953,"[26.7,38.5)","[-123,-122)",191,0.9,0.523411371237458,1.30769230769231,1.54180602006689,0.625418060200669,0.848156182212581,0.648590021691974,0.339479392624729,0.405639913232104,2.49840255591054,2.94568690095847,1.91054313099042,1.19488817891374,2.09090909090909,2.46524064171123,1.59893048128342,0.836898395721925,0.484210526315789,0.35093896713615,0.46141975308642,0.546118721461187,0.517301038062284,0.870451237263464,0.668115942028985,0.842009132420091,0.79757785467128,1.01207464324918,0.668115942028985,1.34206695778748,0.514473684210526,0.858397365532382,0.804526748971193,0.633198380566802,0.603395061728395,1.13828238719068,0.205921052631579,0.226811594202899,0.32201646090535,0.18368544600939,0.241512345679012,0.27076124567474,380,308.75,0.199566160520607,-123.267676767677,-30.5,-142.5,-0.312843029637761,0.493117408906883,0.428310502283105,0.493117408906883,0.42798353909465,0.351409978308026,0.0408470671628566,1307.5,"#070A09",0.422839506172839,0.220182946626451,-0.689638076351016,-0.630242173656232,137839,760,162,5.96870755998537,6.13339804299665,5.70044357339069,5.05305600998021,-0.167253521126761,0.213157894736842,-0.312843029637761,380,157.148590021692,-0.0887918486171761,0.493117408906883,0.422839506172839,0.340217391304348,-162,0.199566160520607,1.17902813299233,-0.493117408906883,-0.299031078925548,142.205128205128,1
381425121360701,38.24023889,-121.602,2020-07-09,362,454,240,102,154,107,0,1,9.65486691827204,9.78044247357157,14.6398780203454,47.051788689866,111.236719850674,71.3905870332708,0,0.194107743855131,97,1,0,133.688269612954,21.3756406586676,51,-1,"2020-07-10 12:00:00","2020-07-08 12:00:00","2020-07-09","12:00",1.3,"2020-07-09",2020,70953,"[26.7,38.5)","[-123,-122)",191,1.3,0.425,1.50833333333333,1.89166666666667,0.641666666666667,0.797356828193833,0.52863436123348,0.224669603524229,0.33920704845815,3.54901960784314,4.45098039215686,2.35294117647059,1.50980392156863,2.35064935064935,2.94805194805195,1.55844155844156,0.662337662337662,0.431654676258993,0.294117647058824,0.394736842105263,0.517241379310345,0.465116279069767,0.9375,0.754152823920266,0.978448275862069,0.87984496124031,1.32748538011696,0.754152823920266,1.7734375,0.521613832853026,1.05847953216374,0.918781725888325,0.651079136690647,0.595394736842105,1.4140625,0.146974063400576,0.169435215946844,0.258883248730964,0.125,0.167763157894737,0.197674418604651,347,278,0.268722466960352,-123.232323232323,-52,-138,-0.403508771929825,0.633093525179856,0.560344827586207,0.633093525179856,0.428348909657321,0.47136563876652,0.0402268297005139,1158,"#050A08",0.493421052631579,0.11876807234761,-0.777777777777778,-0.710227272727273,108960,694,214,5.89164421182577,6.11809719804135,5.48063892334199,4.62497281328427,-0.169117647058824,0.30835734870317,-0.403508771929825,347,102.528634361233,-0.203125,0.633093525179856,0.493421052631579,0.225165562913907,-214,0.268722466960352,1.25414364640884,-0.633093525179856,-0.826263064360816,74.4666666666667,1
14181500,44.75377778,-122.2974444,2021-04-28,248,275,185.5,202,298.5,241.5,0,2,60,52,68.5,87,43.5,52.5,0,0,129,1,0,154.888781827827,32.7033654249138,2,336,"2021-04-29 12:15:00","2021-04-27 12:15:00","2021-04-28","12:15",0.9,"2021-04-28",2021,70953,"[38.5,48.4]","[-123,-122)",118,0.9,1.08894878706199,1.33692722371968,1.48247978436658,1.60916442048518,0.901818181818182,0.674545454545455,0.734545454545455,1.08545454545455,1.22772277227723,1.36138613861386,0.918316831683168,1.47772277227723,0.830820770519263,0.921273031825796,0.6214405360134,0.676716917922948,0.388888888888889,0.354684512428298,0.323452484742807,0.412222222222222,0.339432753888381,0.370629370629371,0.63437139561707,0.611111111111111,0.5032021957914,0.709677419354839,0.63437139561707,0.549450549450549,0.538545059717698,0.64,0.512396694214876,0.519916142557652,0.432432432432432,0.495504495504495,0.438653637350706,0.465974625144175,0.417355371900826,0.38623326959847,0.352223190932868,0.369624885635865,230.25,238.5,0.227272727272727,-2.90404040404042,-96.5,16.5,0.0425806451612903,0.153039832285115,0.102222222222222,0.153039832285115,0.449720670391061,0.325454545454545,0.0243664717348928,910.5,"#040606",-0.040976460331299,0.495484297520661,-0.442758620689655,-0.364280094413847,51012.5,460.5,89.5,5.51342874616498,5.61677109766657,5.22305488204749,5.30826769740121,0.0315487571701721,0.194353963083605,0.0425806451612903,230.25,202.674545454545,-0.192807192807193,0.153039832285115,-0.040976460331299,0.737226277372263,-89.5,0.227272727272727,1.10887096774194,-0.153039832285115,-0.309761805750519,229.412398921833,1
11455140,38.34916667,-121.6447222,2022-04-25,405,561,466,446,406,225,0,1,15.3993145590606,21.3827552532925,19.9394918022836,42.4986927903539,65.9814788827559,43.7822896716114,0,0,122,1,0,148.642708920367,28.4889541096107,6,2,"2022-04-26 12:30:00","2022-04-24 12:30:00","2022-04-25","12:30",0.8,"2022-04-25",2022,70953,"[26.7,38.5)","[-123,-122)",115,0.8,0.957081545064378,0.869098712446352,1.20386266094421,0.871244635193133,0.72192513368984,0.83065953654189,0.795008912655972,0.723707664884136,0.908071748878924,1.25784753363229,1.04484304932735,0.910313901345291,0.997536945812808,1.38177339901478,1.14778325123153,1.09852216748768,0.462760675273088,0.4824016563147,0.481902792140641,0.5475910693302,0.574599260172626,0.546948356807512,0.644087256027555,0.659224441833137,0.69173859432799,0.615131578947368,0.644087256027555,0.658450704225352,0.394352482960078,0.444078947368421,0.464449541284404,0.402184707050645,0.418821096173733,0.475352112676056,0.43427458617332,0.512055109070034,0.511467889908257,0.461697722567288,0.461220268872802,0.549938347718866,513.5,503.5,-0.10873440285205,-9.69696969696969,40,-20,-0.0219298245614035,0.114200595829196,-0.0481786133960047,0.114200595829196,0.268162393162393,0.27807486631016,0.0497076023391813,1878,"#0B0D09",0.16028955532575,0.660381734933481,-0.368271954674221,-0.322703113135915,261426,1027,95,6.00388706710654,6.3297209055227,6.14418563412565,6.10031895202006,-0.020703933747412,0.0925024342745862,-0.0219298245614035,513.5,446.830659536542,0.0469483568075117,0.114200595829196,0.16028955532575,0.796428571428571,-95,-0.10873440285205,1.38518518518519,-0.114200595829196,1.23970665259518,386.157367668097,1
11455385,38.19395556,-121.6580028,2022-02-08,370,488,250,52.8,60.9922178988327,57,0,1,14.2239936185245,10.9309593621141,29.5317735832024,45.3918537604671,78.1251996119334,58.6004604181472,0,0.10205641805087,211,1,0,157.904516509913,56.0066367000593,95,-2,"2022-02-09 10:00:00","2022-02-07 10:00:00","2022-02-08","10:00",1.4,"2022-02-08",2022,70953,"[26.7,38.5)","[-123,-122)",39,1.4,0.2112,1.48,1.952,0.243968871595331,0.758196721311475,0.512295081967213,0.108196721311475,0.124984053071378,7.00757575757576,9.24242424242424,4.73484848484849,1.15515564202335,6.06634768740032,8.00102073365231,4.09888357256778,0.865684210526316,0.462278106508876,0.291375291375291,0.455379861224316,0.591296121097446,0.580056877172392,2.19698679414319,0.787096774193548,1.15421002838221,1.13227102424051,1.6116248348745,0.787096774193548,4.28851822216751,0.501355013550135,1.221928665786,1.18974038160776,0.684171597633136,0.673962194611988,3.25154045533192,0.0715447154471545,0.0851612903225806,0.169779167969972,0.0615384615384615,0.0961762266905756,0.122508012458809,369,270.4,0.245901639344262,-164.744118225052,-8.1922178988327,-197.2,-0.651254953764861,0.804733727810651,0.750236518448439,0.804733727810651,0.417366946778712,0.487704918032787,0.0432394116604643,1160.8,"#060B08",0.777802978219731,0.055428648212846,-0.884057971014493,-0.843043995243758,122000,738,238,5.91350300563827,6.19031540585315,5.52146091786225,3.96651119071222,-0.22983682983683,0.322493224932249,-0.651254953764861,369,53.3122950819672,-0.0719927781539157,0.804733727810651,0.777802978219731,0.108418891170431,-238,0.245901639344262,1.31891891891892,-0.804733727810651,-0.758079572695493,-26.4746666666667,1
11337190,38.0521424,-121.6888428,2021-05-14,771,879,725,488,465.490677134445,402,0,1,24.7903738769972,25.6501188596935,31.5784094904406,64.3816347010438,92.522783603586,74.8980375817763,0,0.115459510071858,100,1,0,143.391799375822,23.1694291536161,74,-6,"2021-05-15 09:15:00","2021-05-13 09:15:00","2021-05-14","09:15",0.9,"2021-05-14",2021,70953,"[26.7,38.5)","[-123,-122)",134,0.9,0.673103448275862,1.06344827586207,1.21241379310345,0.642056106392338,0.877133105802048,0.824800910125142,0.555176336746303,0.529568460903805,1.57991803278689,1.80122950819672,1.48565573770492,0.953874338390256,1.65631673817028,1.88832997775834,1.55749628427167,1.0483561196201,0.530358449158742,0.439393939393939,0.539237655068918,0.575853852263701,0.586336810626167,0.760364015491861,0.587566844919786,0.698173153296267,0.710882836607449,0.724649629018961,0.587566844919786,0.921875820161856,0.480673316708229,0.635614179719703,0.647632119098845,0.564008778346745,0.573451354562946,0.808607801302379,0.304239401496259,0.32620320855615,0.409915011829101,0.295757575757576,0.362962725067079,0.394665329083544,802,683.5,0.0523321956769056,-192.437793043289,22.509322865555,-237,-0.195383347073372,0.286027798098025,0.224781572676728,0.286027798098025,0.383116883116883,0.175199089874858,0.0778841041998937,2863,"#101411",0.307558341532632,0.457909947828293,-0.543498596819457,-0.508064516129032,637275,1604,154,6.64768837356333,6.77878489768518,6.58617165485467,6.19031540585315,-0.143636363636364,0.0960099750623441,-0.195383347073372,802,488.824800910125,0.0236072815449051,0.286027798098025,0.307558341532632,0.555808656036446,-154,0.0523321956769056,1.14007782101167,-0.286027798098025,0.373836663511149,561.28367816092,1
14163900,44.0698492,-122.7711874,2021-04-28,156,193,119,160,211,111,0,2,10.0279609093774,12.9367693030369,11.9682914403017,11.4786758818254,22.0535711393869,19.3909772832625,0,0.3,135,1,0,154.364924926186,31.8742446830931,10,179,"2021-04-29 13:21:00","2021-04-27 13:21:00","2021-04-28","13:21",0.8,"2021-04-28",2021,70953,"[38.5,48.4]","[-123,-122)",118,0.8,1.34453781512605,1.3109243697479,1.6218487394958,1.77310924369748,0.808290155440414,0.616580310880829,0.829015544041451,1.09326424870466,0.975,1.20625,0.74375,1.31875,0.739336492890995,0.914691943127962,0.563981042654028,0.758293838862559,0.337110481586402,0.340974212034384,0.294554455445545,0.376582278481013,0.32425068119891,0.320754716981132,0.701818181818182,0.610759493670886,0.525885558583106,0.691756272401434,0.701818181818182,0.520215633423181,0.5,0.559139784946237,0.472727272727273,0.441926345609065,0.386138613861386,0.420485175202156,0.512820512820513,0.581818181818182,0.484848484848485,0.458452722063037,0.396039603960396,0.435967302452316,156,176.5,0.191709844559585,25.2020202020202,-51,41,0.146953405017921,0.0934844192634561,-0.0126582278481013,0.0934844192634561,0.416666666666667,0.383419689119171,0.0171008328903066,628,"#030404",-0.0445544554455446,0.511154661870117,-0.371316306483301,-0.264367816091954,22967,312,74,5.04985600724954,5.26269018890489,4.77912349311153,5.07517381523383,0.117478510028653,0.237179487179487,0.146953405017921,156,160.616580310881,-0.137466307277628,0.0934844192634561,-0.0445544554455446,0.833333333333333,-74,0.191709844559585,1.23717948717949,-0.0934844192634561,-0.161345864601596,148.997198879552,1
